epoch,train_losses,train_accs,val_losses,val_accs
1,5.147686408403184,15.31,5.202427505493164,14.74
2,3.410251310051812,28.99,3.6244627475738525,26.54
3,2.542412802886963,44.35,2.880260794067383,38.92
4,2.259843714820014,46.84,2.595287481689453,40.88
5,2.0531956300523544,51.45,2.431446492767334,44.79
6,1.617643238237169,60.9,2.109092053413391,51.26
7,1.7200173086802164,59.21,2.2607351764678953,49.86
8,1.5075827642652724,62.78,2.0775263639450072,52.49
9,1.5870187300576104,62.3,2.238131057357788,51.37
10,1.5130784795125325,62.17,2.1571177362442016,50.77
11,1.4050660875956218,65.4,2.117565602874756,52.64
12,1.2437874635060628,68.9,2.006274359703064,55.04
13,1.1765968152787951,70.32,1.995313450241089,55.41
14,1.189518995168474,69.86,1.9963524551391603,55.62
15,1.1254929403728908,71.27,1.969525736618042,56.34
16,1.098908285607232,72.04,2.0183221326828003,56.41
17,0.930492563756307,75.84,1.8627160055160523,57.61
18,1.0928704305013022,71.92,2.046137624168396,55.81
19,0.8619067245589362,77.56,1.858472978401184,57.8
20,0.7477488362418281,80.56,1.8455951522827148,59.36
21,0.9433393258624607,75.51,1.9955182031631469,56.33
22,0.8137777836587694,79.17,1.9811410285949707,58.18
23,0.7244492813746134,80.76,1.8369870653152467,58.99
24,0.6655668257448408,82.93,1.9373156888961791,60.1
25,0.548427678100268,85.96,1.8028054130554199,60.93
26,0.6484147245142194,83.29,1.9302787658691407,59.46
27,0.647342852057351,83.14,1.9057456848144532,58.89
28,0.5331749547322591,86.46,1.8944792556762695,60.92
29,0.4081368401288986,89.92,1.7296329298019408,63.37
30,0.5537723631885316,86.04,1.8861141592025756,59.98
31,0.589684499809477,84.99,1.9567667387008667,59.12
32,0.6612793470488654,83.06,2.0739695585250852,58.26
33,0.5522157998959223,86.29,2.051012536239624,58.43
34,0.5340659919341405,86.42,1.9601372846603393,59.78
35,0.5348740840646956,86.45,2.0295712394714354,59.22
36,0.4883800822602378,87.77,1.9731890958786011,60.4
37,0.47483404935201007,88.32,2.0433170221328734,59.55
38,0.5679198277579414,85.52,2.1101174999237062,58.61
39,0.5566900733232498,85.52,2.040327921104431,57.97
40,0.4859153873708513,87.56,2.0466450065612793,60.27
41,0.44946312452223564,88.58,2.046779134941101,58.74
42,0.4418656197256512,88.93,2.002808703994751,60.02
43,0.4180439497152964,89.44,1.9592132619857787,60.27
44,0.31794672366513144,92.41,1.858773525238037,62.15
45,0.3776274728278319,91.04,2.0958938804626466,59.92
46,0.3106421744763851,92.79,1.9326710479736329,61.77
47,0.3026107034497791,93.01,1.9363516616821288,61.74
48,0.25745347155961723,94.44,1.906127216911316,62.21
49,0.2250983808407353,95.34,1.8380866453170777,64.17
50,0.23402956004689138,95.18,1.8832361953735353,63.26
