epoch,train_losses,train_accs,val_losses,val_accs
1,3.232319233788384,27.51,3.312663698577881,25.95
2,1.9215303261650933,52.62,2.1162402404785157,48.21
3,1.4792735661400689,62.69,1.746038987159729,56.57
4,1.3051985421498618,66.86,1.6124262477874756,59.93
5,1.1774487430996365,70.02,1.5197625135421753,62.17
6,1.075255963367886,72.4,1.4460997417449952,63.94
7,0.9822738820605807,74.75,1.4164746950149536,65.2
8,0.9412261829217275,76.01,1.4062293304443358,65.61
9,0.8521384802924262,77.74,1.3391477100372315,67.63
10,0.803844146405326,79.09,1.327399080848694,67.94
11,0.7481198450141483,80.7,1.3240036367416381,68.33
12,0.7114504715124766,81.72,1.316396635055542,68.15
13,0.6873355381064945,82.33,1.3102565574645997,68.6
14,0.6549699396663242,83.14,1.3292627395629883,68.58
15,0.6280045413838492,83.9,1.3349699111938476,68.55
16,0.6075065031396019,84.75,1.3505444120407104,68.74
17,0.5468380472858747,85.87,1.2974450296401978,69.51
18,0.5216914312177234,86.33,1.2874620910644532,69.74
19,0.4988927277551757,87.03,1.293158542251587,70.03
20,0.477943139884207,87.79,1.3037126487731934,69.98
21,0.4734736247698466,87.8,1.3176186876296998,69.53
22,0.43056036930481595,88.9,1.319462699508667,69.9
23,0.4044813575307528,89.53,1.3028198873519898,70.33
24,0.37482103394269944,90.31,1.3087762588500977,69.75
25,0.33407759180929925,91.52,1.300211044883728,70.65
26,0.32006661378078993,91.93,1.305742239189148,70.58
27,0.3096925874537892,92.17,1.3317326213836669,70.37
28,0.28973512034482424,92.78,1.3314964628219605,70.12
29,0.2560160024765465,93.78,1.3314532766342162,70.29
30,0.26177862827744747,93.65,1.3296200716018676,70.05
31,0.236531992971566,94.38,1.3421403026580812,70.38
32,0.2226817915338609,94.75,1.3402026189804077,70.73
33,0.21916766874723964,94.88,1.3473767265319825,70.5
34,0.2171689666185942,95.01,1.34627893409729,70.55
35,0.2454221521149079,94.18,1.3654793428421022,70.3
36,0.2143415436072482,95.11,1.3746634523391723,70.65
37,0.20049967836505836,95.53,1.3763932996749877,70.69
38,0.19605248623672458,95.6,1.3554700025558473,70.62
39,0.18255772211501994,95.98,1.372294988822937,70.84
40,0.18084909014619058,96.03,1.3782421752929688,70.55
41,0.1769322738070455,96.2,1.387436058807373,70.54
42,0.18174845291251937,96.07,1.3992413162231445,70.49
43,0.17089926474069556,96.4,1.3869486534118651,70.59
44,0.17616294642148747,96.23,1.4029029323577882,70.53
45,0.1697484835796058,96.47,1.3897203031539918,70.96
46,0.16590432125069202,96.58,1.3987667791366578,70.84
47,0.1622255502987239,96.67,1.4002412826538086,70.9
48,0.16083517381008713,96.71,1.4022782455444336,70.95
49,0.15829943853513234,96.78,1.4062115301132203,70.67
50,0.15816870269369748,96.77,1.410978122138977,70.82
