epoch,train_losses,train_accs,val_losses,val_accs
1,3.0924194039238824,29.66,3.173850162887573,28.11
2,1.8590726689444648,53.86,2.0509987874984743,49.61
3,1.4681777264700995,63.02,1.7303054452896118,56.89
4,1.2995343276553684,67.03,1.6072554426193237,59.94
5,1.1753181670294868,70.21,1.5407360441207887,61.94
6,1.078508583556281,72.36,1.475821105003357,63.22
7,0.9939699169317882,74.47,1.4444574979782105,64.72
8,0.9405913001961178,76.07,1.4368632514953614,65.43
9,0.8691164406988355,77.19,1.3799942754745484,66.7
10,0.8051252098507351,78.98,1.3620177364349366,66.92
11,0.7472167583995395,80.71,1.361543447303772,67.49
12,0.7059073377079433,81.82,1.3410788461685181,67.92
13,0.6782512412839465,82.61,1.3520797243118285,68.07
14,0.6519824819564819,83.26,1.3802060523986817,67.79
15,0.611116932463646,84.53,1.3579123220443725,68.32
16,0.5967109178311295,85.13,1.377201766204834,68.41
17,0.5406135145425797,86.1,1.3436424942016603,68.87
18,0.5236232157548268,86.24,1.337727829170227,68.65
19,0.4853710285703341,87.45,1.3512886041641234,68.97
20,0.4625253756456905,88.12,1.3553126789093017,69.18
21,0.4649737640711996,88.02,1.374349359703064,69.06
22,0.4302530071616173,88.94,1.376874952507019,69.17
23,0.3969513188547558,89.67,1.361592583656311,69.07
24,0.3663620157851113,90.62,1.3521797176361083,69.62
25,0.31425871581368975,92.13,1.3480968572616576,69.91
26,0.3168942476332188,92.23,1.3640328481674195,69.69
27,0.3020601269238525,92.37,1.3615409627914428,69.81
28,0.28161576506561703,93.04,1.3679493671417235,69.64
29,0.24489315379394425,94.15,1.3642529623031616,69.89
30,0.26271748361057706,93.55,1.3737481994628906,69.71
31,0.22689603347281614,94.63,1.3735863666534425,70.12
32,0.21343710522966253,94.99,1.3654992332458495,70.22
33,0.2120338182269699,95.03,1.375336605834961,70.48
34,0.20856648446122805,95.19,1.3794416040420532,70.37
35,0.23939472355577682,94.36,1.3925673202514648,69.75
36,0.20690506516877147,95.37,1.3944065017700196,70.08
37,0.19385406237832373,95.69,1.3893285566329956,70.2
38,0.19504064281516606,95.67,1.372624801826477,70.12
39,0.17973873310792776,96.09,1.3853150609970093,70.62
40,0.17584571643736627,96.2,1.3895640275955201,70.33
41,0.17247611443234814,96.33,1.4052660026550292,70.18
42,0.1737430232476029,96.32,1.406551349258423,70.13
43,0.1660616921313935,96.51,1.4035704654693604,70.32
44,0.1732496654798587,96.39,1.4298815715789794,70.26
45,0.1660242420622458,96.55,1.4151783023834228,70.37
46,0.16428048199630446,96.63,1.4250432191848754,70.24
47,0.1618195595529965,96.66,1.4319826501846313,70.38
48,0.1607634014312592,96.69,1.4344279697418212,70.3
49,0.15872800555978384,96.72,1.4315172704696655,70.37
50,0.1591207291631856,96.72,1.4386000942230224,70.54
