epoch,train_losses,train_accs,val_losses,val_accs
1,12202.769143055555,10.08,12142.13670625,9.42
2,16998.513440277777,10.28,17187.128575,10.32
3,312.56756495225693,9.95,315.2150218261719,10.24
4,14.808778236389161,9.99,14.878841709899902,10.08
5,3.768211231019762,24.03,4.143472575378418,24.1
6,4.746790130445692,27.15,4.845218838500976,27.4
7,3.1339205443912084,37.7,3.344604095458984,36.36
8,2.4148541509840222,43.82,2.601067972946167,41.66
9,2.573448084089491,47.54,2.9389245891571045,43.5
10,1.7295122227138944,54.24,1.9682531856536865,49.9
11,1.375378207482232,61.74,1.647341786956787,56.76
12,1.7871774721781413,58.53,2.2775602031707765,51.88
13,1.7815476944817437,56.46,2.0977411130905153,51.54
14,1.26866818860107,65.0,1.7000919227600098,56.7
15,1.4914164599524604,64.92,1.9957733905792236,57.62
16,1.1852864696290757,67.51,1.6824635925292968,58.04
17,1.5877744348949856,64.34,2.251266300392151,56.5
18,1.2122050551520454,66.36,1.8006336456298828,57.1
19,0.6661033277034759,80.92,1.2909951471328736,67.2
20,0.7715368617958492,77.51,1.4995417877197266,62.62
21,0.7407523136880663,79.65,1.4818338082313538,64.44
22,0.9454988459693061,76.13,1.7602007083892823,62.14
23,0.6553613381067912,82.29,1.5914268867492676,64.66
24,0.4884776807228724,86.2,1.3318813535690308,68.02
25,0.4899927861491839,85.47,1.3281967651367188,68.08
26,0.4199619859112634,87.18,1.2534810358047486,68.26
27,0.45258497662643593,87.87,1.465686199760437,67.34
28,0.4780299840927124,85.46,1.294373529624939,67.48
29,0.3893003529482418,88.33,1.3288813280105591,69.24
30,0.4042411401139365,88.64,1.510968928527832,67.52
31,0.5010674110770226,87.56,1.59276179561615,67.86
32,0.4456020744138294,86.58,1.2911702083587646,68.02
33,0.36686217267612614,88.5,1.2800599849700929,68.38
34,0.307526014412774,91.07,1.4293084783554078,68.16
35,0.2943976839939753,91.38,1.4997341006278992,67.88
36,0.289581014418602,91.33,1.4545377285003662,68.42
37,0.4784905405541261,86.6,1.7917802081108094,66.2
38,0.35100140459272594,89.83,1.5552776429176332,67.62
39,0.30272151116985413,91.19,1.5841208587646485,69.16
40,0.24964626897441017,93.0,1.5840522171020508,68.96
41,0.419369480088022,89.24,1.7853299194335936,67.4
42,0.24318584866788653,92.8,1.4103582479476928,69.42
43,0.4040098383393553,89.03,1.6190162343978882,68.08
44,0.30602523352305094,91.1,1.6260683917999268,68.36
45,0.46247035381793977,88.5,1.7399331928253174,67.22
46,0.30770189197328357,90.53,1.6654746627807617,66.84
47,0.386549414938026,89.7,1.7650396339416503,68.1
48,0.4053786887910631,88.48,1.8420569459915161,66.0
49,0.19671364415619108,94.0,1.5217155513763427,69.98
50,0.13072800007826751,96.24,1.4649084161758423,71.0
51,0.2017976451423433,94.45,1.841469588470459,68.84
52,0.19687809004671872,94.69,1.624083449459076,70.32
53,0.14069580969812556,96.22,1.5034832105636597,71.28
54,0.11130413573806484,96.9,1.6159042360305786,71.34
55,0.10715709690176364,97.27,1.622384285736084,71.22
56,0.08719980550746743,97.75,1.6447921592712402,72.1
57,0.16506854325996506,95.52,1.6291819801330567,70.44
58,0.14883621206562966,95.58,1.7500745342254638,70.28
59,0.14466424745387502,95.76,1.8051405689239501,69.04
60,0.1573667981848528,95.76,1.8993014086723328,70.16
61,0.09189500350228821,97.76,1.6768481645584106,72.0
62,0.1243487495643811,96.97,1.8620904405593872,70.86
63,0.1202451838083824,96.86,1.812376395893097,70.18
64,0.09123058047112491,97.74,1.7828101301193238,71.78
65,0.09449345874910553,97.95,1.7877105850219726,71.22
66,0.08178800930786465,98.11,1.75239833984375,71.86
67,0.08750627799824708,97.84,1.8685457344055176,71.6
68,0.07646576824701494,98.19,1.8192249897003174,71.68
69,0.07633473393999868,98.42,1.840343179321289,71.5
70,0.0701539836378975,98.49,1.8481795072555542,71.58
71,0.09758967628702521,97.59,1.8029429931640626,71.08
72,0.0705139204715689,98.29,1.8525863716125488,71.9
73,0.045965929013538534,98.85,1.7759005603790283,72.98
74,0.06297800343997983,98.47,1.8598098567008972,70.98
75,0.06316294292792962,98.62,1.8238895343780517,72.12
76,0.052265304296649995,98.75,1.8918421382904054,71.76
77,0.05362500537902944,98.61,1.90296765460968,71.34
78,0.0437696094137513,98.91,1.905556010055542,72.26
79,0.05755478846306602,98.64,1.9224313186645507,71.68
80,0.04810379846505562,98.95,1.8617790554046632,72.42
81,0.0749262496093909,97.89,1.8286992288589476,71.28
82,0.07623904116965002,98.37,1.8870178084373475,71.98
83,0.06685665357308462,98.46,1.9238485556602478,71.58
84,0.048685853748737525,98.87,1.786796132850647,72.1
85,0.05533848599191341,98.66,2.0024876653671266,71.68
86,0.04911926730426235,98.93,1.89752030544281,72.44
87,0.04583588982172724,99.12,1.9152963848114013,72.28
88,0.03527315906707534,99.32,1.8566529463768005,72.28
89,0.04023786791084955,99.24,1.8199743327140807,72.28
90,0.03428843809727631,99.35,1.9159348865509034,72.88
91,0.02962008935086067,99.45,1.8808327264785767,72.7
92,0.038832351061091244,99.35,1.903099355697632,72.72
93,0.0341532781730613,99.38,1.9939429271697997,72.44
94,0.05158904883649019,99.12,2.030975020980835,71.58
95,0.031236040306872586,99.5,1.9330908205032349,73.36
96,0.028597107547907057,99.51,1.915645555114746,72.82
97,0.034054015419332104,99.42,1.9346161516189575,72.5
98,0.029439144437106896,99.52,1.9404164768218994,72.68
99,0.03719066319743353,99.33,2.036802191925049,72.54
100,0.029623142088592673,99.5,1.991201276779175,72.6
