epoch,train_losses,train_accs,val_losses,val_accs
1,2.923850275548299,31.42,3.027506247329712,29.68
2,1.8005745671166313,55.02,2.0226056640625,50.64
3,1.5181971154954699,62.01,1.7993149784088134,56.2
4,1.2949895235061646,66.97,1.6333420989990235,60.11
5,1.1325003170225356,70.8,1.5284978757858276,62.33
6,1.0393023190392388,73.36,1.4935570318222047,63.54
7,0.9528651213963827,75.6,1.4601325128555298,64.87
8,0.9014233411577013,77.11,1.4581563989639281,65.1
9,0.8619601628833347,77.82,1.4443462299346923,65.84
10,0.7884708618799845,79.59,1.4400966369628907,66.13
11,0.7464528337160746,81.24,1.4549247442245483,66.22
12,0.7052886571672228,82.04,1.4413767230987549,66.62
13,0.673488716506958,82.93,1.4400720882415772,66.78
14,0.6294798031277127,83.91,1.4216566223144531,67.46
15,0.5724420179843902,85.18,1.3894296468734741,68.03
16,0.5693756562179989,85.3,1.4152563369750977,67.93
17,0.520511870182885,86.08,1.3912139345169068,68.14
18,0.4726517275810242,87.12,1.3649235805511475,69.03
19,0.4194962047364977,88.37,1.3729863208770752,69.08
20,0.38396823075082565,89.37,1.3799464933395387,69.32
21,0.3226647619671292,91.12,1.362152862739563,69.53
22,0.30359218695428636,91.67,1.3859065916061402,69.69
23,0.30463495551480185,91.6,1.3916739233016968,69.35
24,0.2939717776139577,91.85,1.3910005584716796,69.52
25,0.285362117615011,92.09,1.397757447052002,69.08
26,0.2858884332603878,91.86,1.4125080890655517,68.7
27,0.23998799519141514,93.21,1.4216434112548828,69.34
28,0.2139769382066197,93.86,1.4222160720825194,69.0
29,0.1719127042359776,95.18,1.4186598039627074,69.8
30,0.15353045829931894,95.66,1.4325940870285034,69.4
31,0.137424951268567,96.18,1.440838812637329,69.71
32,0.14477553037868607,95.98,1.4340736534118652,69.51
33,0.11694675035675367,96.73,1.4330296291351319,69.96
34,0.14408270257380273,95.85,1.4520114883422852,69.1
35,0.1042640107969443,97.14,1.431221367263794,69.1
36,0.07746600070993105,97.9,1.4399650938034059,69.79
37,0.076584618161122,97.97,1.4580833641052247,69.31
38,0.05573695021495223,98.55,1.458229211807251,69.8
39,0.04938086269539264,98.71,1.4674688528060913,69.76
40,0.053497377155555616,98.61,1.4819503833770753,69.4
41,0.04141240896847513,98.94,1.4909576480865478,69.27
42,0.04879984194205867,98.76,1.5064239486694335,69.29
43,0.03313134468454454,99.22,1.5003481176376343,69.5
44,0.028460278127756384,99.32,1.509501621055603,69.76
45,0.024784210138685172,99.43,1.4986305744171142,69.84
46,0.021822214912705952,99.49,1.494798221206665,69.94
47,0.019442626803823644,99.55,1.5015128610610962,69.8
48,0.017259145032573076,99.64,1.5014290695190429,69.99
49,0.015095651672366593,99.68,1.509162547302246,69.71
50,0.013890017338593802,99.73,1.5205952779769898,69.63
