epoch,train_losses,train_accs,val_losses,val_accs
1,6303.099442881944,10.05,6260.17556953125,9.42
2,264.1298658420139,10.09,263.0594882080078,10.78
3,1168.454481467014,9.97,1183.5021295898437,10.24
4,8.438823678927951,14.61,8.54061195678711,14.84
5,2.9881462991078696,28.8,3.0996674772262574,28.06
6,2.775353782229953,38.51,2.9286262353897095,36.9
7,1.9762575740178425,49.35,2.2710557888031007,44.32
8,2.1538585491604274,54.4,2.499656320762634,49.22
9,1.6936965888341269,54.37,1.9848718441963196,49.12
10,1.4382079809824626,61.88,1.8779340244293212,52.72
11,2.314207222620646,59.31,2.7891214799880983,52.84
12,1.1038160213576422,68.25,1.4924498268127442,58.84
13,1.684876484129164,65.37,2.387892286300659,56.78
14,1.654510149637858,59.3,2.1044149633407594,51.74
15,0.975273462735282,72.32,1.5530220010757447,60.64
16,0.8353086069318983,76.61,1.5308750617980957,62.5
17,0.9613741155253517,77.49,1.795074342918396,64.56
18,0.91715743554963,78.31,1.7587671290159226,63.96
19,0.7459409184561835,80.85,1.6222817352294923,65.2
20,1.2328112270408207,71.66,2.2157864868164063,59.04
21,1.049158119359861,74.96,2.139773154258728,58.62
22,0.7673593916508886,80.2,1.5969110307216645,65.4
23,0.6184555615670151,82.04,1.4761277935028077,63.5
24,0.43132427306092447,87.68,1.3500079271316527,68.58
25,0.5444794882578983,85.5,1.6762601264953614,65.94
26,0.5547106567869584,83.56,1.4004459873199462,66.48
27,0.29566373015178576,90.6,1.190224622797966,69.36
28,0.279138792806781,91.62,1.3867512774467468,68.6
29,0.2996622567746374,90.67,1.4123928354263307,69.18
30,0.25351073710187855,92.8,1.4820787408351899,69.06
31,0.587597794262237,85.65,1.957004207611084,64.28
32,0.24969259807266708,92.3,1.442608187866211,70.32
33,0.4485841809037659,87.74,1.6347707174301147,65.98
34,0.1642109161376953,94.59,1.35264382648468,70.92
35,0.1739435514839159,94.35,1.4707995891571044,70.32
36,0.2771408850232553,93.3,1.678848645401001,69.96
37,0.14506520578445117,95.63,1.563342067050934,70.78
38,0.17928796316543594,94.58,1.5391362431049347,70.08
39,0.2463759383462654,92.92,1.5704846280097962,69.02
40,0.20381485075580938,93.77,1.5815348476409912,69.46
41,0.25419188391096476,94.48,1.5798294889450073,70.5
42,0.0892623523925596,97.16,1.4683845935821533,71.9
43,0.13805436033385873,96.54,1.6208498970031737,71.38
44,0.26377310106746027,92.53,1.785840532684326,68.24
45,0.13576650189796668,95.93,1.5907813608169556,71.08
46,0.15154403683725332,96.16,1.686821321105957,70.54
47,0.13202261084962066,96.2,1.7614865818023682,70.44
48,0.14654043582736695,95.83,1.7122985628128051,70.58
49,0.2482212117453675,93.48,2.0131982034683227,68.14
50,0.12023800637248981,96.57,1.599700670814514,71.32
51,0.1600222733824045,95.72,1.7465490743637084,70.58
52,0.1339100685590464,96.04,1.5651578038215637,71.62
53,0.1623552339028981,96.18,1.5691881499290465,70.7
54,0.06840037313888056,97.79,1.4506243470907212,72.46
55,0.44394195361004934,91.49,2.119469566631317,67.28
56,0.23812606248458226,94.23,1.8994205594062805,68.12
57,0.10455467660725053,96.78,1.7984623376846314,70.7
58,0.14059094052529997,96.02,1.847948000240326,69.8
59,0.10556059054554337,96.98,1.6765081214427948,70.7
60,0.09435668153166771,97.05,1.7331677561759948,70.3
61,0.0925016279346827,97.17,1.7041502013295888,71.72
62,0.1923770207050774,95.66,1.8539562870025634,69.86
63,0.09323522923723794,97.07,1.6450014925956726,72.1
64,0.07407484625909064,97.58,1.6181769355297089,71.48
65,0.10234278661561096,97.01,1.7775092224121094,70.82
66,0.1934242286907923,95.12,2.002299274158478,68.26
67,0.08293416072482812,97.53,1.8048041801929473,70.52
68,0.10593110967964554,97.1,1.8291912957191467,71.62
69,0.07535854493826628,97.59,1.6890359246253968,72.04
70,0.06731860765231928,98.02,1.7915738027572632,72.14
71,0.06251377435872953,98.13,1.8238970806121826,72.32
72,0.16804306890492637,96.47,1.9791970628261566,69.5
73,0.05279297324857026,98.71,1.8121965402603148,72.38
74,0.07003888853200607,97.85,1.9371631954669952,71.82
75,0.20413790967594833,95.51,1.963603293800354,69.86
76,0.15125760538426436,97.37,1.8072840285807847,71.6
77,0.09909396972835788,97.3,1.925567061805725,70.94
78,0.03839512047740734,98.87,1.710452299118042,73.04
79,0.14274851321412457,96.46,2.01538731136322,70.22
80,0.048479489679303434,98.62,1.7020509443491698,73.4
81,0.03553562474842959,98.95,1.7358437728881837,73.32
82,0.03232902914351046,99.09,1.7636324466973543,73.12
83,0.02458910579498301,99.28,1.7116087524175645,73.98
84,0.09684934210731751,97.79,1.9227524867057801,71.46
85,0.12675346984586472,97.88,1.9376960554599763,71.8
86,0.025943074793353702,99.35,1.7652348398685456,73.46
87,0.023587488420754865,99.33,1.7391789932250976,73.42
88,0.029377769897007317,99.27,1.772158310031891,74.04
89,0.020106295671484743,99.46,1.7665661158561707,73.4
90,0.09027185900332406,98.06,2.0011925689697265,71.12
91,0.01947143210771707,99.47,1.8022984867095948,73.64
92,0.022564670547250556,99.39,1.78107406206131,73.26
93,0.02649847609099104,99.2,1.887510669517517,72.98
94,0.08644534519359262,98.33,1.9516450883865357,71.74
95,0.016972807267951105,99.58,1.8030050848484038,73.6
96,0.014414721833276821,99.56,1.8202185999393463,73.54
97,0.09583603235307253,98.38,1.949743659067154,71.82
98,0.01528323254197312,99.64,1.8373436779975891,73.76
99,0.014098395653495228,99.63,1.8572998065948487,73.64
100,0.016381529160887455,99.6,1.8447215372562409,73.48
