epoch,train_losses,train_accs,val_losses,val_accs
1,2.860788407897949,10.06,2.866560410308838,9.42
2,3.5474631101820204,12.06,3.551077243041992,11.96
3,3.150776154200236,16.78,3.16152607383728,16.46
4,2.42904204143948,34.05,2.471351737213135,33.0
5,2.4434431500328913,39.85,2.5427220684051512,37.74
6,1.5290517083909776,54.22,1.669148840713501,50.9
7,1.4860956451310052,56.58,1.6644355262756347,52.3
8,1.8059251886791654,52.18,1.9902512603759765,48.86
9,1.202479589260949,64.46,1.4606232791900635,58.92
10,1.0768566871060266,68.6,1.3851890190124512,61.22
11,1.2422763804541694,66.64,1.634740811920166,58.88
12,1.142846800602807,69.17,1.5187416988372802,62.22
13,0.9723345438639323,72.87,1.3789823497772218,64.28
14,0.7645467863241832,77.09,1.1908859609603881,67.66
15,0.7321467852380541,79.0,1.2670306310653687,67.06
16,0.7181282949023776,80.27,1.3086458944320678,67.54
17,0.6349293181207445,82.09,1.2458836678504943,68.6
18,0.6390406764904658,82.87,1.2789065834999085,69.32
19,0.5442308361954159,85.02,1.2588245695114135,70.9
20,0.5172421308716139,86.06,1.2580186236858368,70.56
21,0.49859319333235425,86.39,1.281910635471344,70.34
22,0.4170369731631544,87.29,1.1284482815504073,71.24
23,0.36913639953136446,88.95,1.1248524297952651,71.48
24,0.380255966871149,89.11,1.226604461979866,71.16
25,0.37694844206074873,89.93,1.2784056506156922,71.68
26,0.32593534855610795,90.2,1.1245099942922592,71.12
27,0.28276576464772224,91.6,1.175005591917038,71.74
28,0.25876674901975527,92.6,1.2273352040171623,71.4
29,0.2221443493379487,93.52,1.220367105102539,72.16
30,0.19428506966473327,94.53,1.2248851976394652,72.56
31,0.2188301787238982,94.24,1.313140565109253,72.48
32,0.19542756373087566,94.69,1.2493672264039517,73.22
33,0.18341965058375564,94.7,1.18927845993042,72.92
34,0.14701652344115493,96.11,1.246380038893223,72.84
35,0.14036820599784453,96.38,1.3218105309247972,72.74
36,0.14937492246194226,95.94,1.3231727001905442,73.14
37,0.14361480333436694,96.35,1.3500703298568726,72.4
38,0.1180469639248939,96.65,1.3200717090606688,72.9
39,0.1375794042725116,96.31,1.2963858182668686,72.94
40,0.10620731487141716,97.12,1.2794875038921834,72.72
41,0.10990231147298796,97.36,1.3780203594624996,73.32
42,0.10535072308236526,97.52,1.3804667376935482,73.56
43,0.10269241363572784,97.63,1.3957701281964778,73.34
44,0.1060708739239231,97.6,1.4845857571601868,73.14
45,0.11266192650481567,97.52,1.4151920015305282,73.06
46,0.09528957373428727,97.8,1.4066840275645256,73.52
47,0.09346159497168717,97.72,1.4486611633658408,73.6
48,0.08381308100701232,97.99,1.4388254746556282,73.46
49,0.08671961075147717,98.03,1.4664767364025115,73.54
50,0.09182664001316557,97.86,1.4670038967609405,73.26
51,0.0958484037123129,97.85,1.5012429754972458,73.14
52,0.05760791511674308,98.54,1.3861444932222367,73.92
53,0.06679648086007994,98.52,1.4800238098621368,74.18
54,0.06954045132092304,98.56,1.4539266226053238,73.8
55,0.06408263081017261,98.7,1.521515795135498,73.44
56,0.058157242311050905,98.76,1.553545957136154,73.6
57,0.06211627005390927,98.8,1.5109335461616515,73.52
58,0.04566425842432719,98.95,1.5027006932258606,73.3
59,0.048727980969794506,98.89,1.4288932466745377,73.86
60,0.0351612013899359,99.16,1.4430859376430512,73.84
61,0.04633606865758387,99.14,1.4953670694828034,73.88
62,0.05435372689678851,98.91,1.60141649889946,73.22
63,0.03699090713659405,99.29,1.4869326511859893,73.58
64,0.04966608095449499,98.98,1.4450177716255188,73.9
65,0.052491743844333624,99.01,1.5260489268302917,72.94
66,0.06565925844707009,98.91,1.6118629167556762,73.38
67,0.04775747327945298,98.82,1.4272432038784026,72.78
68,0.05142311116892637,99.08,1.5038703593134881,73.08
69,0.05458654575839302,98.82,1.5346284261703491,72.8
70,0.03485834477341527,99.16,1.478724204492569,73.18
71,0.0382268120576938,99.22,1.5240512291908264,73.5
72,0.05691402029895948,99.09,1.65676962018013,72.92
73,0.027455170634967118,99.44,1.530132375907898,73.7
74,0.054897071227159665,99.18,1.616987945175171,72.86
75,0.05337704220926389,99.23,1.6656447738647462,73.08
76,0.05118817406429961,99.2,1.691356270456314,73.04
77,0.05792371748591411,99.17,1.7382103846549988,72.7
78,0.03448423883119184,99.41,1.624036684155464,73.34
79,0.044389702024958226,99.29,1.7048219326972962,73.04
80,0.022174632566495954,99.58,1.5911054724693299,73.42
81,0.04518600471243909,99.34,1.663747708415985,73.12
82,0.0396593997874585,99.37,1.6556501209259034,73.02
83,0.043956034729462246,99.38,1.6672554189682007,72.98
84,0.06214619007918583,99.22,1.7692126175880432,72.64
85,0.06275215555961024,99.2,1.7901999264717101,72.82
86,0.034311153182979455,99.49,1.6674951037406922,73.26
87,0.02894451733526787,99.53,1.6672396902799607,73.24
88,0.03869098212516724,99.42,1.6791664848089218,73.48
89,0.024197356470461496,99.61,1.654333810043335,73.36
90,0.0642376645508882,99.2,1.8232264693260194,72.84
91,0.03375101664059459,99.49,1.6949933369636536,73.2
92,0.025007594961436955,99.62,1.6609316178560256,73.5
93,0.04115449339098123,99.46,1.6864796087026597,73.32
94,0.04252489759606607,99.44,1.7657333539009095,73.1
95,0.027636438184090527,99.55,1.6808003931879998,73.2
96,0.02892898548310946,99.58,1.7093897346019744,73.42
97,0.04388412321944197,99.42,1.7981534046173095,73.08
98,0.02728249070914527,99.61,1.688849957215786,73.26
99,0.0450907850019333,99.42,1.7531506779670716,72.86
100,0.03860551987025408,99.5,1.7226627593994142,73.42
